  2459467.2879132       0.755537       0.002793 0 -1 -1 
  2459467.2879682       0.760459       0.002793 0 -1 -1 
  2459467.2880232       0.763230       0.002814 0 -1 -1 
  2459467.2880792       0.770111       0.002836 0 -1 -1 
  2459467.2881342       0.754869       0.002780 0 -1 -1 
  2459467.2881912       0.762018       0.002810 0 -1 -1 
  2459467.2882462       0.767920       0.002830 0 -1 -1 
  2459467.2883012       0.756793       0.002771 0 -1 -1 
  2459467.2883562       0.767476       0.002807 0 -1 -1 
  2459467.2884122       0.765026       0.002820 0 -1 -1 
  2459467.2884692       0.770354       0.002855 0 -1 -1 
  2459467.2885242       0.764853       0.002855 0 -1 -1 
  2459467.2885792       0.763677       0.002840 0 -1 -1 
  2459467.2886342       0.758703       0.002843 0 -1 -1 
  2459467.2886902       0.762134       0.002810 0 -1 -1 
  2459467.2887472       0.758863       0.002800 0 -1 -1 
  2459467.2888022       0.764131       0.002798 0 -1 -1 
  2459467.2888572       0.759263       0.002773 0 -1 -1 
  2459467.2889122       0.749512       0.002754 0 -1 -1 
  2459467.2889672       0.763024       0.002797 0 -1 -1 
  2459467.2890242       0.766745       0.002802 0 -1 -1 
  2459467.2890792       0.762936       0.002804 0 -1 -1 
  2459467.2891352       0.762668       0.002797 0 -1 -1 
  2459467.2891902       0.756833       0.002768 0 -1 -1 
  2459467.2892472       0.765782       0.002805 0 -1 -1 
  2459467.2893043       0.761030       0.002810 0 -1 -1 
  2459467.2893583       0.765362       0.002811 0 -1 -1 
  2459467.2894133       0.767219       0.002834 0 -1 -1 
  2459467.2894693       0.756503       0.002783 0 -1 -1 
  2459467.2895243       0.756876       0.002793 0 -1 -1 
  2459467.2895803       0.764921       0.002795 0 -1 -1 
  2459467.2896353       0.760059       0.002802 0 -1 -1 
  2459467.2896903       0.769386       0.002817 0 -1 -1 
  2459467.2897453       0.763947       0.002814 0 -1 -1 
  2459467.2898013       0.773420       0.002829 0 -1 -1 
  2459467.2898583       0.764146       0.002800 0 -1 -1 
  2459467.2899133       0.758699       0.002776 0 -1 -1 
  2459467.2899683       0.764936       0.002807 0 -1 -1 
  2459467.2900233       0.753307       0.002759 0 -1 -1 
  2459467.2900793       0.762793       0.002788 0 -1 -1 
  2459467.2901353       0.762397       0.002788 0 -1 -1 
  2459467.2901913       0.758597       0.002764 0 -1 -1 
  2459467.2902463       0.766893       0.002814 0 -1 -1 
  2459467.2903013       0.757616       0.002782 0 -1 -1 
